v,comuna,manzana,predio,rol,_ok,_status,nombreComuna,direccion_sii,lat,lon,valorTotal,valorAfecto,valorExento,supTerreno,supConsMt2,supConsMt3,valorComercial_clp_m2,txt_direccion,txt_avaluo_total,txt_avaluo_exento,txt_cuota_trimestral,txt_serie,txt_ind_aseo,txt_anio_term_exencion,txt_cod_ubicacion,txt_cod_destino,_extra_json,ah,ah_coefVariacion,ah_eac,ah_eacano,ah_mediana,ah_numeroMuestras,ah_rangoSuperficie,ah_utm_x,ah_utm_y,ah_valorUnitario,cap__observatorio_de_mercado_de_suelo_urbano_2025__comuna,cap__observatorio_de_mercado_de_suelo_urbano_2025__código_área_homogénea,cap__observatorio_de_mercado_de_suelo_urbano_2025__región,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_bodega,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_comercio,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_estacionamiento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_industria,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_oficina,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_sitio_eriazo,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_casa,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_departamento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_otros_destinos,cap__observatorio_de_mercado_de_suelo_urbano_2025__valor_comercial_m²_de_suelo,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea__2,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²__2,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno__2,destinoDescripcion,eacano,eacs,eacsDescripcion,existePredio,medidaSup,medidaSupConst,obs_codigo_area_homogenea,obs_comuna,obs_region,obs_tx_destino_bodega,obs_tx_destino_comercio,obs_tx_destino_estacionamiento,obs_tx_destino_industria,obs_tx_destino_oficina,obs_tx_destino_sitio_eriazo,obs_tx_habitacional_casa,obs_tx_habitacional_departamento,obs_tx_otros_destinos,obs_valor_comercial_m2_suelo,periodo,predioPublicado_comuna,predioPublicado_id,predioPublicado_manzana,predioPublicado_predio,predioPublicado_utm_x,predioPublicado_utm_y,rangoSuperficie,sector,tablaOrigen,ubicacion,_poly_idx,_match_method,pol_area_m2,dc_contribucion_semestral,dc_cod_destino,dc_avaluo_fiscal,dc_avaluo_exento,dc_sup_terreno,dc_cod_ubicacion,dc_direccion,dc_bc1_comuna,dc_bc1_manzana,dc_bc1_predio,dc_bc2_comuna,dc_bc2_manzana,dc_bc2_predio,dc_padre_comuna,dc_padre_manzana,dc_padre_predio,n_lineas_construccion,sup_construida_total,anio_construccion_min,anio_construccion_max,materiales,calidades,pisos_max,serie
16106|01752|00292,16106,1752,292,01752-00292,TRUE,200,SAN MIGUEL,C VALDOVINOS 1216 A L G 21 ,-33.479857,-70.64938,5649488,5649488,0,0,0,0,442048,C VALDOVINOS 1216 A L G 21,5565998,0,14848,FALSE,,0,U,C,,XMB068,,,,,,,,,,SAN MIGUEL,XMB068,XIII Región Metropolitana,184,7,246,0,25,0,2,295,0,"19,62 UF",XMB068,, 260 - 1.670  m²,,442.05,,COMERCIO,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XMB068,SAN MIGUEL,XIII Región Metropolitana,184,7,246,0,25,0,2,295,0,"19,62 UF",PRIMER SEMESTRE DE 2026,16106,127550997,1752,90040,346752.8871,6294297.057,,0,PREDIOS_NACIONAL,URBANA,678,1_contains,5085.813945,29696,C,5565998,0,0,U,C VALDOVINOS 1216 A L G 21,16106,1752,90040,0,0,0,0,0,0,1,5,1984,1984,A,4,1,FALSE
16106|03748|00014,16106,3748,14,03748-00014,TRUE,200,SAN MIGUEL,BRIGADIER DE LA CRUZ 918 ,-33.492127,-70.648637,218568271,0,218568271,0,0,0,193536,BRIGADIER DE LA CRUZ 918,215338185,215338185,0,FALSE,,2055,U,E,,HMB015,0,14,2022,0,0,120 - 530,346713.7389,6292858.982,153415,SAN MIGUEL,HMB015,XIII Región Metropolitana,90,0,240,2,0,0,20,272,1,"8,59 UF",HMB015,, 120 - 530  m²,,193.54,,EDUCACION Y CULTURA,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB015,SAN MIGUEL,XIII Región Metropolitana,90,0,240,2,0,0,20,272,1,"8,59 UF",PRIMER SEMESTRE DE 2026,16106,127550299,3748,14,346843.5182,6292937.48,120 - 530,0,PREDIOS_NACIONAL,URBANA,3224,1_contains,508.7864425,0,E,215338185,215338185,588,U,BRIGADIER DE LA CRUZ 918,0,0,0,0,0,0,0,0,0,4,364,1947,2018,C|E,3|4,1,FALSE
16106|06045|00012,16106,6045,12,06045-00012,TRUE,200,SAN MIGUEL,STA FE 850 ,-33.511517,-70.651053,50842791,0,50842791,0,0,0,144871,STA FE 850,50091417,50091417,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127525725,6045,12,346653.2744,6290783.806,130 - 270,0,PREDIOS_NACIONAL,URBANA,13055,1_contains,288.582743,0,H,50091417,50091417,222,U,STA FE 850,0,0,0,0,0,0,0,0,0,3,94,1960,2009,C|E,4,1,FALSE
16106|04852|00147,16106,4852,147,04852-00147,TRUE,200,SAN MIGUEL,LA MARINA 1240 BX 12 ,-33.497659,-70.656358,2172227,2172227,0,0,0,0,286587,LA MARINA 1240 BX 12,2140125,0,5709,FALSE,,0,U,Z,,HMB019,,,,,,,,,,SAN MIGUEL,HMB019,XIII Región Metropolitana,388,3,478,0,15,0,54,698,2,"12,72 UF",HMB019,, 180 - 580  m²,,286.59,,ESTACIONAMIENTO,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB019,SAN MIGUEL,XIII Región Metropolitana,388,3,478,0,15,0,54,698,2,"12,72 UF",PRIMER SEMESTRE DE 2026,16106,127542105,4852,90096,346135.9687,6292312.713,,0,PREDIOS_NACIONAL,URBANA,5658,1_contains,2207.475224,11418,Z,2140125,0,0,U,LA MARINA 1240 BX 12,16106,4852,90096,0,0,0,0,0,0,1,12,1994,1994,GA,3,1,FALSE
16106|06047|00014,16106,6047,14,06047-00014,TRUE,200,SAN MIGUEL,SANTA FE 894 ,-33.51122,-70.652567,44432397,0,44432397,0,0,0,144871,SANTA FE 894,43775758,43775758,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127533223,6047,14,346512.1392,6290814.519,130 - 270,0,PREDIOS_NACIONAL,URBANA,12831,1_contains,429.3526384,0,H,43775758,43775758,294,U,SANTA FE 894,0,0,0,0,0,0,0,0,0,1,27,1965,1965,F,5,1,FALSE
16106|05564|00017,16106,5564,17,05564-00017,TRUE,200,SAN MIGUEL,5A TRANSVERSAL 5615 ,-33.502881,-70.66586,61413012,1382302,60030710,0,0,0,169203,5A TRANSVERSAL 5615,60505426,59143557,0,FALSE,,0,U,H,,HBB042,0,14,2022,0,0,130 - 260,345177.0262,6290888.763,134127,SAN MIGUEL,HBB042,XIII Región Metropolitana,0,4,0,2,0,0,59,0,1,"7,51 UF",HBB042,, 130 - 260  m²,,169.21,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB042,SAN MIGUEL,XIII Región Metropolitana,0,4,0,2,0,0,59,0,1,"7,51 UF",PRIMER SEMESTRE DE 2026,16106,127528635,5564,17,345262.5232,6291719.509,130 - 260,0,PREDIOS_NACIONAL,URBANA,7518,1_contains,303.1144042,0,H,60505426,59143557,210,U,5A TRANSVERSAL 5615,0,0,0,0,0,0,0,0,0,3,147,1982,1998,C|E|GA,3|4,1,FALSE
16106|06252|00466,16106,6252,466,06252-00466,TRUE,200,SAN MIGUEL,OCTAVA AVENIDA 1161 BD 51 SUBTE 2,-33.510839,-70.658882,1647234,1647234,0,0,0,0,328269,OCTAVA AVENIDA 1161 BD 51,1622890,0,4330,FALSE,,0,U,L,,HMB037,,,,,,,,,,SAN MIGUEL,HMB037,XIII Región Metropolitana,175,0,177,4,1,0,12,383,0,"14,57 UF",HMB037,, 160 - 550  m²,,328.27,,BODEGA Y ALMACENAJE,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB037,SAN MIGUEL,XIII Región Metropolitana,175,0,177,4,1,0,12,383,0,"14,57 UF",PRIMER SEMESTRE DE 2026,16106,127553221,6252,90213,345924.8716,6290847.482,,0,PREDIOS_NACIONAL,URBANA,12637,1_contains,2874.683518,8660,L,1622890,0,0,U,OCTAVA AVENIDA 1161 BD 51,16106,6252,90213,0,0,0,0,0,0,1,3,2012,2012,B,4,17,FALSE
16106|05346|00090,16106,5346,90,05346-00090,TRUE,200,SAN MIGUEL,PJE BLANCO 5542 DP 101 SN JOSE,,,12089944,0,12089944,0,0,0,,PJE BLANCO 5542 DP 101,11911274,11911274,0,FALSE,,0,U,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,,,,,,,,,,,,,,PRIMER SEMESTRE DE 2026,,,,,,,,0,PREDIOS_NACIONAL,URBANA,8807,6_manzana_any,1105.030306,0,H,11911274,11911274,0,U,PJE BLANCO 5542 DP 101,0,0,0,0,0,0,0,0,0,1,44,1977,1977,B,4,4,FALSE
16106|06333|00013,16106,6333,13,06333-00013,TRUE,200,SAN MIGUEL,MERCEDES 6250 ,-33.516402,-70.638049,27061805,0,27061805,0,0,0,109949,MERCEDES 6250,26661876,26661876,0,FALSE,,0,U,H,,XBB050,0,14,2022,0,0,760 - 3.150,347931.747,6290118.774,87156,SAN MIGUEL,XBB050,XIII Región Metropolitana,1,3,0,1,0,1,2,0,3,"4,88 UF",XBB050,, 760 - 3.150  m²,,109.95,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XBB050,SAN MIGUEL,XIII Región Metropolitana,1,3,0,1,0,1,2,0,3,"4,88 UF",PRIMER SEMESTRE DE 2026,16106,127549929,6333,13,347869.7951,6290261.31,760 - 3.150,0,PREDIOS_NACIONAL,URBANA,14961,1_contains,335.4763244,0,H,26661876,26661876,205,U,MERCEDES 6250,0,0,0,0,0,0,0,0,0,1,60,1970,1970,E,4,1,FALSE
16106|05341|00003,16106,5341,3,05341-00003,TRUE,200,SAN MIGUEL,SANTA CLARA 5561 RECREO,-33.506634,-70.64479,48773388,0,48773388,0,0,0,144871,SANTA CLARA 5561,48052596,48052596,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127551899,5341,3,347226.4216,6291334.52,130 - 270,0,PREDIOS_NACIONAL,URBANA,9433,1_contains,194.2606725,0,H,48052596,48052596,191,U,SANTA CLARA 5561,0,0,0,0,0,0,0,0,0,2,137,1958,1984,C|E,4,1,FALSE
16106|05452|00049,16106,5452,49,05452-00049,TRUE,200,SAN MIGUEL,GRAN AVENIDA 5557 5559 ,-33.504987,-70.655604,100504168,100504168,0,0,0,0,446103,GRAN AVENIDA 5557 5559,99018879,0,264133,FALSE,,0,U,C,,CMB064,0,14,2022,0,0,330 - 1.220,346148.9062,6291179.149,353623,SAN MIGUEL,CMB064,XIII Región Metropolitana,8,13,19,0,0,1,2,20,0,"19,8 UF",CMB064,, 330 - 1.220  m²,,446.11,,COMERCIO,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,CMB064,SAN MIGUEL,XIII Región Metropolitana,8,13,19,0,0,1,2,20,0,"19,8 UF",PRIMER SEMESTRE DE 2026,16106,127542961,5452,49,346219.0135,6291501.227,330 - 1.220,0,PREDIOS_NACIONAL,URBANA,8520,1_contains,292.6837026,528266,C,99018879,0,156,U,GRAN AVENIDA 5557 5559,0,0,0,0,0,0,0,0,0,1,120,1933,1933,C,3,1,FALSE
16106|03861|00429,16106,3861,429,03861-00429,TRUE,200,SAN MIGUEL,REY ALBERTO 4281 BD 12 ,-33.492234,-70.655526,2732413,2732413,0,0,0,0,286587,REY ALBERTO 4281 BD 12,2692032,0,7182,FALSE,,0,U,L,,HMB019,,,,,,,,,,SAN MIGUEL,HMB019,XIII Región Metropolitana,388,3,478,0,15,0,54,698,2,"12,72 UF",HMB019,, 180 - 580  m²,,286.59,,BODEGA Y ALMACENAJE,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB019,SAN MIGUEL,XIII Región Metropolitana,388,3,478,0,15,0,54,698,2,"12,72 UF",PRIMER SEMESTRE DE 2026,16106,127544105,3861,90390,346203.6661,6292915.435,,0,PREDIOS_NACIONAL,URBANA,3261,1_contains,1952.680822,14364,L,2692032,0,0,U,REY ALBERTO 4281 BD 12,16106,3861,90390,0,0,0,0,0,0,1,3,2001,2001,B,4,7,FALSE
16106|02152|00885,16106,2152,885,02152-00885,TRUE,200,SAN MIGUEL,FERNANDO LAZCANO 1249 BD 21 ,-33.483624,-70.650981,2903743,2903743,0,0,0,0,319031,FERNANDO LAZCANO 1249 BD 21,2860831,0,7632,FALSE,,0,U,L,,HMM047,,,,,,,,,,SAN MIGUEL,HMM047,XIII Región Metropolitana,16,0,31,0,15,0,5,36,0,"14,16 UF",HMM047,, 210 - 1.560  m²,,319.04,,BODEGA Y ALMACENAJE,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMM047,SAN MIGUEL,XIII Región Metropolitana,16,0,31,0,15,0,5,36,0,"14,16 UF",PRIMER SEMESTRE DE 2026,16106,127528053,2152,90641,346610.7952,6293876.977,,0,PREDIOS_NACIONAL,URBANA,1369,1_contains,4961.002132,15264,L,2860831,0,0,U,FERNANDO LAZCANO 1249 BD 21,16106,2152,90641,0,0,0,0,0,0,1,3,1999,1999,B,4,13,FALSE
16106|03244|00101,16106,3244,101,03244-00101,TRUE,200,SAN MIGUEL,A DE TOLEDO 845 DP 612 ,-33.490654,-70.646074,59537885,0,59537885,0,0,0,157488,A DE TOLEDO 845 DP 612,58658012,58658012,0,FALSE,,2037,U,H,,XMB052,,,,,,,,,,SAN MIGUEL,XMB052,XIII Región Metropolitana,70,1,186,1,1,0,12,496,1,"6,99 UF",XMB052,, 160 - 800  m²,,157.49,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XMB052,SAN MIGUEL,XIII Región Metropolitana,70,1,186,1,1,0,12,496,1,"6,99 UF",PRIMER SEMESTRE DE 2026,16106,127548949,3244,90036,347079.1214,6293104.599,,0,PREDIOS_NACIONAL,URBANA,2871,1_contains,5614.302824,0,H,58658012,58658012,0,U,A DE TOLEDO 845 DP 612,16106,3244,90036,0,0,0,0,0,0,1,47,2017,2017,B,3,18,FALSE
16106|05940|00006,16106,5940,6,05940-00006,TRUE,200,SAN MIGUEL,SN FRANCISCO 5959 ,-33.511879,-70.647041,43282763,0,43282763,0,0,0,144871,SN FRANCISCO 5959,42643114,42643114,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127550905,5940,6,347026.5847,6290749.612,130 - 270,0,PREDIOS_NACIONAL,URBANA,13292,1_contains,260.8566902,0,H,42643114,42643114,200,U,SN FRANCISCO 5959,0,0,0,0,0,0,0,0,0,5,98,1953,2009,C|E,4|5,1,FALSE
16106|01952|00500,16106,1952,500,01952-00500,TRUE,200,SAN MIGUEL,MAGDALENA VICUNA 1280 BD 57 ,-33.481127,-70.650309,2822106,2822106,0,0,0,0,317004,MAGDALENA VICUNA 1280 BD 57,2780400,0,7417,FALSE,,0,U,L,,HMA070,,,,,,,,,,SAN MIGUEL,HMA070,XIII Región Metropolitana,44,0,61,0,0,0,4,78,0,"14,07 UF",HMA070,, 110 - 840  m²,,317.01,,BODEGA Y ALMACENAJE,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMA070,SAN MIGUEL,XIII Región Metropolitana,44,0,61,0,0,0,4,78,0,"14,07 UF",PRIMER SEMESTRE DE 2026,16106,127530541,1952,90320,346668.8531,6294154.764,,0,PREDIOS_NACIONAL,URBANA,990,1_contains,5572.936623,14834,L,2780400,0,0,U,MAGDALENA VICUNA 1280 BD 57,16106,1952,90320,0,0,0,0,0,0,1,3,2003,2003,B,4,16,FALSE
16106|06350|00808,16106,6350,808,06350-00808,TRUE,200,SAN MIGUEL,W MARTINEZ 6100 BD 67 ,-33.512422,-70.653967,1384213,1384213,0,0,0,0,349673,W MARTINEZ 6100 BD 67,1363757,0,3638,FALSE,,0,U,L,,HMA044,,,,,,,,,,SAN MIGUEL,HMA044,XIII Región Metropolitana,23,0,45,0,0,0,6,218,0,"15,52 UF",HMA044,, 2.690 - 7.720  m²,,349.68,,BODEGA Y ALMACENAJE,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMA044,SAN MIGUEL,XIII Región Metropolitana,23,0,45,0,0,0,6,218,0,"15,52 UF",PRIMER SEMESTRE DE 2026,16106,127535797,6350,90611,346384.2077,6290679.187,,0,PREDIOS_NACIONAL,URBANA,13797,1_contains,7142.088572,7276,L,1363757,0,0,U,W MARTINEZ 6100 BD 67,16106,6350,90611,0,0,0,0,0,0,1,3,2005,2005,B,4,8,FALSE
16106|04542|00012,16106,4542,12,04542-00012,TRUE,200,SAN MIGUEL,PEDRO MIRA 731 ,-33.497891,-70.64451,58550298,0,58550298,0,0,0,174386,PEDRO MIRA 731,57685019,57685019,0,FALSE,,0,U,H,,XBB024,0,14,2022,0,0,140 - 500,347268.0534,6292241.041,138235,SAN MIGUEL,XBB024,XIII Región Metropolitana,0,4,0,2,0,0,5,31,1,"7,74 UF",XBB024,, 140 - 500  m²,,174.39,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XBB024,SAN MIGUEL,XIII Región Metropolitana,0,4,0,2,0,0,5,31,1,"7,74 UF",PRIMER SEMESTRE DE 2026,16106,127531935,4542,12,347237.1139,6292304.401,140 - 500,0,PREDIOS_NACIONAL,URBANA,5685,1_contains,300.7073192,0,H,57685019,57685019,288,U,PEDRO MIRA 731,0,0,0,0,0,0,0,0,0,2,86,1966,1966,C|E,4|5,1,FALSE
16106|06254|00119,16106,6254,119,06254-00119,TRUE,200,SAN MIGUEL,7A AVENIDA 1370 DP 103 ,-33.509193,-70.662718,47493986,0,47493986,0,0,0,262029,7A AVENIDA 1370 DP 103,46792101,46792101,0,FALSE,,2020,U,H,,HMB036,,,,,,,,,,SAN MIGUEL,HMB036,XIII Región Metropolitana,453,9,521,0,3,0,56,911,1,"11,63 UF",HMB036,, 200 - 650  m²,,262.03,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB036,SAN MIGUEL,XIII Región Metropolitana,453,9,521,0,3,0,56,911,1,"11,63 UF",PRIMER SEMESTRE DE 2026,16106,127550913,6254,90051,345565.621,6291024.211,,0,PREDIOS_NACIONAL,URBANA,11207,1_contains,3527.271,0,H,46792101,46792101,0,U,7A AVENIDA 1370 DP 103,16106,6254,90051,0,0,0,0,0,0,1,36,2000,2000,B,3,12,FALSE
16106|06054|00018,16106,6054,18,06054-00018,TRUE,200,SAN MIGUEL,SANTA FE 555 STA FE,-33.513642,-70.638767,16076012,0,16076012,0,0,0,144871,SANTA FE 555,15838435,15838435,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127539223,6054,18,347798.2699,6290566.327,130 - 270,0,PREDIOS_NACIONAL,URBANA,14230,1_contains,55.63040829,0,H,15838435,15838435,48,U,SANTA FE 555,0,0,0,0,0,0,0,0,0,1,47,1978,1978,C,4,2,FALSE
16106|06550|00349,16106,6550,349,06550-00349,TRUE,200,SAN MIGUEL,DECIMA AVENIDA 1180 BD 3 ,-33.513507,-70.659474,600203,600203,0,0,0,0,328269,DECIMA AVENIDA 1180 BD 3,591333,0,1578,FALSE,,0,U,L,,HMB037,,,,,,,,,,SAN MIGUEL,HMB037,XIII Región Metropolitana,175,0,177,4,1,0,12,383,0,"14,57 UF",HMB037,, 160 - 550  m²,,328.27,,BODEGA Y ALMACENAJE,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB037,SAN MIGUEL,XIII Región Metropolitana,175,0,177,4,1,0,12,383,0,"14,57 UF",PRIMER SEMESTRE DE 2026,16106,127553155,6550,90001,345874.6447,6290550.749,,0,PREDIOS_NACIONAL,URBANA,14275,1_contains,4203.305273,3156,L,591333,0,0,U,DECIMA AVENIDA 1180 BD 3,16106,6550,90001,0,0,0,0,0,0,1,1,2015,2015,B,4,1,FALSE
16106|05546|00075,16106,5546,75,05546-00075,TRUE,200,SAN MIGUEL,CARMEN MENA 877 DP 43 A ,-33.506838,-70.650618,66570401,6539691,60030710,0,0,0,233866,CARMEN MENA 877 DP 43 A,65586599,59143557,0,FALSE,,2024,U,H,,HMB038,,,,,,,,,,SAN MIGUEL,HMB038,XIII Región Metropolitana,218,2,192,2,0,0,33,506,3,"10,38 UF",HMB038,, 40 - 1.200  m²,,233.87,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB038,SAN MIGUEL,XIII Región Metropolitana,218,2,192,2,0,0,33,506,3,"10,38 UF",PRIMER SEMESTRE DE 2026,16106,127547635,5546,90037,346685.4775,6291303.39,,0,PREDIOS_NACIONAL,URBANA,9743,1_contains,8458.585751,0,H,65586599,59143557,0,U,CARMEN MENA 877 DP 43 A,16106,5546,90037,0,0,0,0,0,0,1,52,2004,2004,B,3,6,FALSE
16106|04948|00162,16106,4948,162,04948-00162,TRUE,200,SAN MIGUEL,SAN NICOLAS 1020 DP 105 PISO 1,-33.500365,-70.651361,71791575,11760865,60030710,0,0,0,275322,SAN NICOLAS 1020 DP 105,70730611,59143557,0,FALSE,,2031,U,H,,HMB058,,,,,,,,,,SAN MIGUEL,HMB058,XIII Región Metropolitana,23,0,14,0,0,0,7,41,3,"12,22 UF",HMB058,, 80 - 1.235  m²,,275.33,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB058,SAN MIGUEL,XIII Región Metropolitana,23,0,14,0,0,0,7,41,3,"12,22 UF",PRIMER SEMESTRE DE 2026,16106,127537625,4948,90160,346604.9475,6292019.974,,0,PREDIOS_NACIONAL,URBANA,6659,1_contains,4594.679459,0,H,70730611,59143557,0,U,SAN NICOLAS 1020 DP 105,16106,4948,90160,0,0,0,0,0,0,1,69,2011,2011,B,3,20,FALSE
16106|02148|00001,16106,2148,1,02148-00001,TRUE,200,SAN MIGUEL,ALCDE ALARCON 701 ,-33.487736,-70.641272,207246262,207246262,0,0,0,0,157488,ALCDE ALARCON 701,204183497,0,544660,FALSE,,0,U,C,,XMB052,0,14,2022,0,0,160 - 800,347257.363,6293258.503,124840,SAN MIGUEL,XMB052,XIII Región Metropolitana,70,1,186,1,1,0,12,496,1,"6,99 UF",XMB052,, 160 - 800  m²,,157.49,,COMERCIO,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XMB052,SAN MIGUEL,XIII Región Metropolitana,70,1,186,1,1,0,12,496,1,"6,99 UF",PRIMER SEMESTRE DE 2026,16106,127544913,2148,1,347520.143,6293435.236,160 - 800,0,PREDIOS_NACIONAL,URBANA,1973,1_contains,1862.816316,1089320,C,204183497,0,1186,U,ALCDE ALARCON 701,0,0,0,0,0,0,0,0,0,5,781,1933,1965,E|F|GE,3|4,1,FALSE
16106|06534|00017,16106,6534,17,06534-00017,TRUE,200,SAN MIGUEL,AMERICA 548 COLON AMERICA,-33.517722,-70.639434,68358465,8327755,60030710,0,0,0,109949,AMERICA 548,67348237,59143557,9159,FALSE,,0,U,H,,XBB050,0,14,2022,0,0,760 - 3.150,347931.747,6290118.774,87156,SAN MIGUEL,XBB050,XIII Región Metropolitana,1,3,0,1,0,1,2,0,3,"4,88 UF",XBB050,, 760 - 3.150  m²,,109.95,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,XBB050,SAN MIGUEL,XIII Región Metropolitana,1,3,0,1,0,1,2,0,3,"4,88 UF",PRIMER SEMESTRE DE 2026,16106,127530425,6534,17,347743.4176,6290112.957,760 - 3.150,0,PREDIOS_NACIONAL,URBANA,15182,1_contains,713.8344218,18318,H,67348237,59143557,523,U,AMERICA 548,0,0,0,0,0,0,0,0,0,1,104,1950,1950,C,4,1,FALSE
16106|05452|00279,16106,5452,279,05452-00279,TRUE,200,SAN MIGUEL,SEGUNDA AVENIDA 1179 BX 48 SUBTERRANEO,-33.50482,-70.656785,7061266,7061266,0,0,0,0,328269,SEGUNDA AVENIDA 1179 BX 48,6956912,0,18558,FALSE,,0,U,Z,,HMB037,,,,,,,,,,SAN MIGUEL,HMB037,XIII Región Metropolitana,175,0,177,4,1,0,12,383,0,"14,57 UF",HMB037,, 160 - 550  m²,,328.27,,ESTACIONAMIENTO,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB037,SAN MIGUEL,XIII Región Metropolitana,175,0,177,4,1,0,12,383,0,"14,57 UF",PRIMER SEMESTRE DE 2026,16106,127541115,5452,90050,346108.995,6291517.989,,0,PREDIOS_NACIONAL,URBANA,8538,1_contains,3289.326193,37116,Z,6956912,0,0,U,SEGUNDA AVENIDA 1179 BX 48,16106,5452,90050,0,0,0,0,0,0,1,13,2009,2009,B,4,19,FALSE
