v,comuna,manzana,predio,rol,_ok,_status,nombreComuna,direccion_sii,lat,lon,valorTotal,valorAfecto,valorExento,supTerreno,supConsMt2,supConsMt3,valorComercial_clp_m2,txt_direccion,txt_avaluo_total,txt_avaluo_exento,txt_cuota_trimestral,txt_serie,txt_ind_aseo,txt_anio_term_exencion,txt_cod_ubicacion,txt_cod_destino,_extra_json,ah,ah_coefVariacion,ah_eac,ah_eacano,ah_mediana,ah_numeroMuestras,ah_rangoSuperficie,ah_utm_x,ah_utm_y,ah_valorUnitario,cap__observatorio_de_mercado_de_suelo_urbano_2025__comuna,cap__observatorio_de_mercado_de_suelo_urbano_2025__código_área_homogénea,cap__observatorio_de_mercado_de_suelo_urbano_2025__región,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_bodega,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_comercio,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_estacionamiento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_industria,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_oficina,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_destino_sitio_eriazo,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_casa,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_habitacional_departamento,cap__observatorio_de_mercado_de_suelo_urbano_2025__transacciones_otros_destinos,cap__observatorio_de_mercado_de_suelo_urbano_2025__valor_comercial_m²_de_suelo,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea,cap__áreas_homogéneas_rav_sne_2025__código_área_homogénea__2,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²,cap__áreas_homogéneas_rav_sne_2025__rango_superficie_predial_en_m²__2,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno,cap__áreas_homogéneas_rav_sne_2025__valor_m²_de_terreno__2,destinoDescripcion,eacano,eacs,eacsDescripcion,existePredio,medidaSup,medidaSupConst,obs_codigo_area_homogenea,obs_comuna,obs_region,obs_tx_destino_bodega,obs_tx_destino_comercio,obs_tx_destino_estacionamiento,obs_tx_destino_industria,obs_tx_destino_oficina,obs_tx_destino_sitio_eriazo,obs_tx_habitacional_casa,obs_tx_habitacional_departamento,obs_tx_otros_destinos,obs_valor_comercial_m2_suelo,periodo,predioPublicado_comuna,predioPublicado_id,predioPublicado_manzana,predioPublicado_predio,predioPublicado_utm_x,predioPublicado_utm_y,rangoSuperficie,sector,tablaOrigen,ubicacion,_poly_idx,_match_method,pol_area_m2,dc_contribucion_semestral,dc_cod_destino,dc_avaluo_fiscal,dc_avaluo_exento,dc_sup_terreno,dc_cod_ubicacion,dc_direccion,dc_bc1_comuna,dc_bc1_manzana,dc_bc1_predio,dc_bc2_comuna,dc_bc2_manzana,dc_bc2_predio,dc_padre_comuna,dc_padre_manzana,dc_padre_predio,n_lineas_construccion,sup_construida_total,anio_construccion_min,anio_construccion_max,materiales,calidades,pisos_max,serie
16106|03540|00016,16106,3540,16,03540-00016,TRUE,200,SAN MIGUEL,BRIGADIER DE LA CRUZ 683 ,-33.493674,-70.641531,46434872,0,46434872,0,0,0,184750,BRIGADIER DE LA CRUZ 683,45748640,45748640,0,FALSE,,0,U,H,,HBB021,0,14,2022,0,0,100 - 360,347273.2335,6292633.425,146450,SAN MIGUEL,HBB021,XIII Región Metropolitana,65,3,98,7,7,0,63,166,2,"8,2 UF",HBB021,, 100 - 360  m²,,184.75,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB021,SAN MIGUEL,XIII Región Metropolitana,65,3,98,7,7,0,63,166,2,"8,2 UF",PRIMER SEMESTRE DE 2026,16106,127537389,3540,16,347506.4873,6292776.408,100 - 360,0,PREDIOS_NACIONAL,URBANA,3802,1_contains,331.73197,0,H,45748640,45748640,244,U,BRIGADIER DE LA CRUZ 683,0,0,0,0,0,0,0,0,0,2,75,1945,1945,C|F,4,1,FALSE
16106|05240|00029,16106,5240,29,05240-00029,TRUE,200,SAN MIGUEL,DEPARTAMENTAL 647 ,-33.50576,-70.643799,97192130,97192130,0,0,0,0,211561,DEPARTAMENTAL 647,95755787,0,255429,FALSE,,0,U,I,,HMB030,0,14,2022,0,0,150 - 460,347180.8841,6291694.584,167703,SAN MIGUEL,HMB030,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",HMB030,, 150 - 460  m²,,211.57,,INDUSTRIA,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB030,SAN MIGUEL,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",PRIMER SEMESTRE DE 2026,16106,127537999,5240,29,347316.9809,6291432.915,150 - 460,0,PREDIOS_NACIONAL,URBANA,9028,1_contains,589.4683648,510858,I,95755787,0,420,U,DEPARTAMENTAL 647,0,0,0,0,0,0,0,0,0,2,73,1948,1967,C|GE,3|4,1,FALSE
16106|05342|00004,16106,5342,4,05342-00004,TRUE,200,SAN MIGUEL,SAN MAURICIO 5537 ,-33.506321,-70.645368,42709875,0,42709875,0,0,0,144871,SAN MAURICIO 5537,42078692,42078692,0,FALSE,,0,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127541963,5342,4,347172.2353,6291368.405,130 - 270,0,PREDIOS_NACIONAL,URBANA,9274,1_contains,223.3239948,0,H,42078692,42078692,175,U,SAN MAURICIO 5537,0,0,0,0,0,0,0,0,0,2,113,1950,1980,C,4,1,FALSE
16106|03440|00020,16106,3440,20,03440-00020,TRUE,200,SAN MIGUEL,MONTE CARMELO 653 ,-33.493388,-70.64047,60092087,61377,60030710,0,0,0,184750,MONTE CARMELO 653,59204024,59143557,0,FALSE,,0,U,H,,HBB021,0,14,2022,0,0,100 - 360,347273.2335,6292633.425,146450,SAN MIGUEL,HBB021,XIII Región Metropolitana,65,3,98,7,7,0,63,166,2,"8,2 UF",HBB021,, 100 - 360  m²,,184.75,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB021,SAN MIGUEL,XIII Región Metropolitana,65,3,98,7,7,0,63,166,2,"8,2 UF",PRIMER SEMESTRE DE 2026,16106,127536475,3440,20,347604.4937,6292809.683,100 - 360,0,PREDIOS_NACIONAL,URBANA,3699,1_contains,416.3365492,0,H,59204024,59143557,299,U,MONTE CARMELO 653,0,0,0,0,0,0,0,0,0,1,69,1928,1928,F,4,1,FALSE
16106|05041|00035,16106,5041,35,05041-00035,TRUE,200,SAN MIGUEL,STA ADELA 5268 PIRAMIDE ORIENTE,-33.50464,-70.640673,52090134,0,52090134,0,0,0,211561,STA ADELA 5268,51320326,51320326,0,FALSE,,0,U,H,,HMB030,0,14,2022,0,0,150 - 460,347180.8841,6291694.584,167703,SAN MIGUEL,HMB030,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",HMB030,, 150 - 460  m²,,211.57,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB030,SAN MIGUEL,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",PRIMER SEMESTRE DE 2026,16106,127550517,5041,35,347605.4169,6291561.735,150 - 460,0,PREDIOS_NACIONAL,URBANA,8337,1_contains,279.5784622,0,H,51320326,51320326,206,U,STA ADELA 5268,0,0,0,0,0,0,0,0,0,1,53,1961,1961,C,3,1,FALSE
16106|05063|00020,16106,5063,20,05063-00020,TRUE,200,SAN MIGUEL,PJ O 1612 SN MIGUEL,-33.49836,-70.663816,19548501,0,19548501,0,0,0,203900,PJ O 1612,19259606,19259606,0,FALSE,,0,U,H,,HMM028,0,14,2022,0,0,50 - 260,345508.1177,6291996.631,161631,SAN MIGUEL,HMM028,XIII Región Metropolitana,0,1,0,0,0,0,19,0,0,"9,05 UF",XBB027,HMM028, 160 - 605  m², 50 - 260  m²,204.36,203.9,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMM028,SAN MIGUEL,XIII Región Metropolitana,0,1,0,0,0,0,19,0,0,"9,05 UF",PRIMER SEMESTRE DE 2026,16106,127547245,5063,20,345444.3953,6292223.826,50 - 260,0,PREDIOS_NACIONAL,URBANA,5826,1_contains,87.9923285,0,H,19259606,19259606,55,U,PJ O 1612,0,0,0,0,0,0,0,0,0,1,55,1962,1962,C,4,1,FALSE
16106|05164|00004,16106,5164,4,05164-00004,TRUE,200,SAN MIGUEL,C EDWARDS 1548 SN MIGUEL,-33.49978,-70.661976,26091728,0,26091728,0,0,0,203900,C EDWARDS 1548,25706134,25706134,0,FALSE,,0,U,H,,HMM028,0,14,2022,0,0,50 - 260,345508.1177,6291996.631,161631,SAN MIGUEL,HMM028,XIII Región Metropolitana,0,1,0,0,0,0,19,0,0,"9,05 UF",HMM028,, 50 - 260  m²,,203.9,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMM028,SAN MIGUEL,XIII Región Metropolitana,0,1,0,0,0,0,19,0,0,"9,05 UF",PRIMER SEMESTRE DE 2026,16106,127545905,5164,4,345617.7874,6292069.101,50 - 260,0,PREDIOS_NACIONAL,URBANA,6385,1_contains,92.80649845,0,H,25706134,25706134,55,U,C EDWARDS 1548,0,0,0,0,0,0,0,0,0,2,86,1960,1984,C,4,2,FALSE
16106|06034|00031,16106,6034,31,06034-00031,TRUE,200,SAN MIGUEL,PASAJE 3 OTE 6090 V ESTER,-33.514588,-70.638755,28113756,0,28113756,0,0,0,144871,PASAJE 3 OTE 6090,27698281,27698281,0,FALSE,,1992,U,H,,HBB040,0,14,2022,0,0,130 - 270,347090.5507,6290883.463,114838,SAN MIGUEL,HBB040,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",HBB040,, 130 - 270  m²,,144.88,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB040,SAN MIGUEL,XIII Región Metropolitana,0,7,0,2,0,0,91,0,1,"6,43 UF",PRIMER SEMESTRE DE 2026,16106,127536937,6034,31,347801.0301,6290461.476,130 - 270,0,PREDIOS_NACIONAL,URBANA,14529,1_contains,149.9524788,0,H,27698281,27698281,122,U,PASAJE 3 OTE 6090,0,0,0,0,0,0,0,0,0,1,50,1973,1973,C,4,1,FALSE
16106|05865|00005,16106,5865,5,05865-00005,TRUE,200,SAN MIGUEL,ESCULTOR RODIN 5957 ,-33.505952,-70.667867,58255840,0,58255840,0,0,0,169203,ESCULTOR RODIN 5957,57394913,57394913,0,FALSE,,0,U,H,,HBB042,0,14,2022,0,0,130 - 260,345177.0262,6290888.763,134127,SAN MIGUEL,HBB042,XIII Región Metropolitana,0,4,0,2,0,0,59,0,1,"7,51 UF",HBB042,, 130 - 260  m²,,169.21,,HABITACIONAL,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HBB042,SAN MIGUEL,XIII Región Metropolitana,0,4,0,2,0,0,59,0,1,"7,51 UF",PRIMER SEMESTRE DE 2026,16106,127527621,5865,5,345081.5441,6291375.923,130 - 260,0,PREDIOS_NACIONAL,URBANA,9095,1_contains,307.5719689,0,H,57394913,57394913,242,U,ESCULTOR RODIN 5957,0,0,0,0,0,0,0,0,0,2,113,1982,1998,E,4,1,FALSE
16106|05246|00080,16106,5246,80,05246-00080,TRUE,200,SAN MIGUEL,SAN FRANCISCO 5313 ,-33.503607,-70.649043,84280299,84280299,0,0,0,0,211561,SAN FRANCISCO 5313,83034772,0,221496,FALSE,,0,U,O,,HMB030,0,14,2022,0,0,150 - 460,347180.8841,6291694.584,167703,SAN MIGUEL,HMB030,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",HMB030,, 150 - 460  m²,,211.57,,OFICINA,2022,14,RAV NO AGRICOLA 2022,1,m²,m²,HMB030,SAN MIGUEL,XIII Región Metropolitana,62,3,52,6,0,0,55,439,0,"9,39 UF",PRIMER SEMESTRE DE 2026,16106,127531235,5246,80,346826.0483,6291663.977,150 - 460,0,PREDIOS_NACIONAL,URBANA,7865,1_contains,306.1455482,442992,O,83034772,0,182,U,SAN FRANCISCO 5313,0,0,0,0,0,0,0,0,0,4,158,1982,2002,C|GA,3|4,1,FALSE
